Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000123,In Work,F6790,Maintenance Group,2 AMXS,,VEHICLE FUEL,"Ground fuel used to transport personnel, equipment, and tools from workcenters to aircraft on the flightline",Lack of funding will result in the inability for 2d Bomb Wing to maintain the Fully Mission Capable rate of the B-52 mission.  A  For a crew of four personnel to walk from their shop (pushing heavy tool boxes and maintenance stands) would take minimum of 20 minutes versus 5 minutes and this reults in loss of 2 manhours for each job.  Crew Chief response time to aircraft will be significantly increased in turn decreasing readiness of the wing.,0,11113F,,011A,E,641,2601301,,34FIG3,387700,"103,500.00",,"103,500.00",,,,"103,500.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000124,In Work,F6790,Maintenance Group,2 AMXS,,Printer Repair/Replacement,Provides for replacement of failed printers.  Most of the printers in use have exceeded their warranty period.  Items are repaired when economically feasible.  No tasks are completed without the use of printers.,"2 AMXS will have to continue repairing the current printers until they are no longer repairable, which would cause misuse of taxpayer dollars since a 4-year replacement schedule could be established and repairs would be accomplished under warranty.",2,11113F,,011A,E,61950,2603312,,34FIG0,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000125,In Work,F6790,Maintenance Group,2 AMXS,,Vehicle Repairs,Provides for vehicle repairs that have been deemed abuse by LRS.,Lack of funding will result in vehicles not being released back to the unit resulting in degredated transport of personnel and equipment to the flight line for aircraft maintenance.  This will lower our response time and ultimately hinder our mission.,E,11113F,,011A,E,61950,2603312,,34FIG0,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000126,In Work,F6790,Maintenance Group,2 AMXS,,Mission TDY,"Mission TDYs required for Weapons System Reviews, specialist mandated training, and professional development courses -ex Sniper Pod and Production Superintendent - which are not AETC funded","Specific training not conducted at BAFB is required for our personnel.  If requirements are not met, 2d Aircraft Maintenance Squadron's mission readiness will decline.",1,11113F,,011A,E,40924,2101101,,34FIG0,387700,"20,500.00",,"20,500.00",,,,"20,500.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000127,In Work,F6790,Maintenance Group,2 AMXS,,Squadron Awards,Awards for quarterly and annual recognition of top performers covering the Squadron and its 3 AMUs.,This will cause a lack of member recognition which will subtract from unit morale and cohesion.,E,11113F,,011A,E,61950,2603312,,34FIG0,387700,"15,000.00",,"15,000.00",,,,"15,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000128,In Work,F6790,Maintenance Group,2 MUNS,,Non Fly Depot Level Repairable,Needs to be moved to ALCM to support testing and ITT requirements levied by a pending 1 Apr DOC Statement. Each INE cost almost $500K (exchange cost),2 BW will be unable to maintain levels mandated by the pending 1 Apr DOC statement.  Readiness of the Missiles at Barksdale will not be sustained,A,11122F,,011A,E,645,2605202,,34A250,667100,"10,000,000.00",,"10,000,000.00",,,,"10,000,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000129,In Work,F6790,Mission Support Group,2 FSS,,GPC - Education Center Equipment,Awards for quarterly and annual recognition of top performers in 2 MXS,This will cause a lack of member recognition which will subtract from unit morale and cohesion.,,84702F,,033C,P,61950,2603312,,3A4140,387700,"32,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000130,In Work,F6790,Operations Group,NON FLY DLR,,Non Fly Depot Level Repairable,Needed to support all airfield and simulators to ensure all individuals are qualified to highest standards available.  Supports airfield daily operations of non fly DLR parts,2 BW will be unable to maintain levels mandated equipment's for aircrew certified.  Base airfield would become unusable for landing and takeoff,2,11113F,,011A,E,645,2605202,,331000,667100,"250,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000131,In Work,F6790,Operations Group,2 OG,,Warrior Center Building Manager Contract,"Funds 2 contractors for the alert facility for day to day operation for the alert aircraft that stops here over night.  2 OSS has been directed to maintain the Alert Facility and the ability to house alert personnel 24hrs a day by the AFGSC/CC and 8 AF/CC.  Funding is required in order to properly staff and run day-to-day operations of the facility.  The facility supports AFGSC aircraft and missions (B-52, EC-135, E-4B…conventional/nuclear generation, NC2/NC3).  The ABNCP (EC-135) and NAOC (E-4B) use the Barksdale Alert Facility as one of their primary staging locations.  At any point in time a single ABNCP or NAOC can arrive with anywhere from 24-70 personnel.",If not funded the there will be a severe impact to the ABNCP and NAOC missions as well as to the 2 BW’s ability to generate aircraft for both conventional and nuclear missions.,2,11113F,,011A,E,,2603301,,331000,387700,"247,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000132,In Work,F6790,Operations Group,2 OG,,SERE TDY,Covers mandatory training and SERE Specialist qualifications not AETC funded,If not funded the SERE specialist will be held to bare minimum standards and not be able to keep current in all aspects of their job.,,11113F,,011A,E,61950,2603312,,331000,387700,"40,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000133,In Work,F6790,Operations Group,2 OG,,GROUP AWARDS,"Group awards include Quarterly and Annual Awards, Diamond Sharp Awards, Commander Coins, and other AFSC specialty awards for  2d Operation Group",Lack of funding would prevent proper recognition of the maintainers for their performances and could lead to reduction in morale and pride in the work they accomplish.,E,11113F,,011A,E,61950,2603312,,331000,387700,"6,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000134,In Work,F6790,Operations Group,2 OG,,FURNITURE,"2 OG furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the 2 OG assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to the 2 OG may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,11113F,,011A,E,6390A,3106310,,331000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000135,In Work,F6790,Maintenance Group,2 MXS,,Squadron Awards,Awards for quarterly and annual recognition of top performers in 2 MXS,This will cause a lack of member recognition which will subtract from unit morale and cohesion.,E,11113F,,011A,E,61950,2603312,,34FIJ0,387700,"15,000.00",,"15,000.00",,,,"15,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000136,In Work,F6790,Maintenance Group,2 MXS,,Telescopic Boom Lift,Awards for quarterly and annual recognition of top performers in 2 MXS,This will cause a lack of member recognition which will subtract from unit morale and cohesion.,,11113F,,011A,E,63900,3106301,,34FIJ0,387700,"125,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000137,In Work,F6790,Maintenance Group,2 MXS,,Pressure Washers,WASH RACK REQUIRES NEW PRESSURE WASHERS.  CURRENT PRESSURE WASHERS ARE COSTING MXS MORE TO MAINTAIN AND ARE CONSTANTLY REQUIRING SERVICE TO KEEP THEM OPERATIONAL.,"5 OF 10 PRESSURE WASHERS ARE ELECTRIC AND UNABLE TO BE UTILITIEZED DUE TO THE FACILITIES POWER CAPABILITIES. CURRENT PRESSURE WASHERS BEING UTILIZED ARE OVER TEN YEARS OLD AND BECOMING COSTLY/DIFFICULT TO MAINTAIN. REPAIRS IN THE PAST THREE FISCAL YEARS HAVE AMOUNTED TO $16.8k. INABILITY TO MAINTAIN WASH SCHEDULE WILL RESULT IN AIRCRAFT BEING GROUNDED UPON EXCEEDING 120 DAYS SINCE LAST WASH, THUS EFFECTING OVERALL AIRCRAFT AVAILABILITY AND MISSION READINESS.",,11113F,,011A,E,63900,3106301,,34FIJ0,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000138,In Work,F6790,Maintenance Group,2 MXS,,PPE,"Personnel Protective Equipment purchases include safety toe boots, coveralls, work gloves, hearing protection, reflective belts, safety glasses, and camelbacks for 650 personnel. Personnel are mandated to wear proper PPE items when performing primary duties (AFI 21-101, OSHA 1910.95, OSHA 1910.136, and Occupational Safety and Health Act of 1970).  Safety toe boots, work gloves and coveralls carry the highest wear-out rate and tend to get issued multiple times to an individual.  Cold/wet weather gear is required for BAFB flight line operations and B-52 missions worldwide.  Cold/wet weather gear such as fleece and APECS items are issued to personnel.  The mandatory wear date for the OCP uniform is April 2021, requiring an additional 100% issue of OCP wet weather gear.","Personnel will be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.  On average, Barksdale receives rain 127/365 days a year and temperatures during the months Dec through Mar range 38 - 59 degrees Fahrenheit.  Without rain gear/cold weather gear, Barksdale would be unable to launch or work on aircraft during these times.",1,11113F,,011A,E,61956,2603327,,34FIJ0,387700,"82,000.00",,"82,000.00",,,,"82,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000139,In Work,F6790,Maintenance Group,2 MXS,,Mission TDY,"Mission TDYs required 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",Specific training not conducted at BAFB is required for our personnel.  If we do not meet these training requirements our Squadron will lack mission readiness.  Having the B-52s at airshows is used as a recruitment tool for the Air Force.,2,11113F,,011A,E,40924,2101101,,34FIJ0,387700,"30,000.00",,"30,000.00",,,,"30,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000140,In Work,F6790,Maintenance Group,2 MXS,,VEHICLE FUEL,"Ground fuel used to transport personnel, equipment, tools, and AGE equipment from workcenters to aircraft on the flightline","Lack of funding will result in the inability for 2d Bomb Wing to maintain the Fully Mission Capable rate of the B-52 mission.  AGE equipment, which is required to provide air, power, liquid oxygen, nitrogen, and air conditioning to the B-52 during maintenance, servicing, and prep for take off, will not be able to be delivered the average distance of 1 mile from the AGE shop to the locations on the flightline because the equipment requires an average of three personnel.  For a crew of four personnel to walk from their shop (pushing heavy tool boxes and maintenance stands) would take minimum of 20 minutes versus 5 minutes and this reults in loss of 2 manhours for each job.",0,11113F,,011A,E,641,2601301,,34FIJ0,387700,"60,000.00",,"60,000.00",,,,"60,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
